timestamp_us,event_type,price,quantity,symbol
1778445142858897,0,81088.84,0.00435,BTCUSDT
1778445142920893,1,81088.83,0.10236,BTCUSDT
1778445142924136,1,81088.83,0.00085,BTCUSDT
1778445142924137,1,81088.82,0.0007,BTCUSDT
1778445142924138,1,81088.72,0.00014,BTCUSDT
1778445142924139,1,81088.31,7e-05,BTCUSDT
1778445142924140,1,81088.0,0.0004,BTCUSDT
1778445142924141,1,81087.57,0.00014,BTCUSDT
1778445142924142,1,81087.53,0.00035,BTCUSDT
1778445142924143,1,81087.51,7e-05,BTCUSDT
1778445142924144,1,81086.84,7e-05,BTCUSDT
1778445142924145,1,81086.39,7e-05,BTCUSDT
1778445142924146,1,81086.0,0.0004,BTCUSDT
1778445142924147,1,81085.89,7e-05,BTCUSDT
1778445142924148,1,81085.88,0.00021,BTCUSDT
1778445142937943,1,81085.87,0.00167,BTCUSDT
1778445142942938,1,81085.87,0.09792,BTCUSDT
1778445142942939,1,81085.86,0.00478,BTCUSDT
1778445142942940,1,81085.73,0.00322,BTCUSDT
1778445142942941,1,81085.57,7e-05,BTCUSDT
1778445142942942,1,81084.39,0.00023,BTCUSDT
1778445142942943,1,81084.11,8e-05,BTCUSDT
1778445142942944,1,81084.1,0.00018,BTCUSDT
1778445142942945,1,81084.0,0.0004,BTCUSDT
1778445142942946,1,81083.6,0.00078,BTCUSDT
1778445143000473,1,81083.59,0.01116,BTCUSDT
1778445143186284,1,81083.59,0.02,BTCUSDT
1778445143186315,1,81083.59,0.017,BTCUSDT
1778445143377073,1,81083.59,0.00012,BTCUSDT
1778445143463381,1,81083.59,0.001,BTCUSDT
1778445143596109,1,81083.59,0.0081,BTCUSDT
1778445144170217,1,81083.59,0.022,BTCUSDT
1778445144170218,1,81083.59,0.01,BTCUSDT
1778445144170219,1,81083.59,0.01,BTCUSDT
1778445144172819,1,81083.59,0.01,BTCUSDT
1778445144172820,1,81083.59,0.003,BTCUSDT
1778445144174145,1,81083.59,0.01,BTCUSDT
1778445144174146,1,81083.59,0.037,BTCUSDT
1778445144175834,1,81083.59,1.45438,BTCUSDT
1778445144177918,1,81083.59,0.00085,BTCUSDT
1778445144177919,1,81083.58,0.00049,BTCUSDT
1778445144177920,1,81083.47,7e-05,BTCUSDT
1778445144177921,1,81083.38,7e-05,BTCUSDT
1778445144177922,1,81082.8,7e-05,BTCUSDT
1778445144177923,1,81082.11,7e-05,BTCUSDT
1778445144177924,1,81082.0,0.0004,BTCUSDT
1778445144177925,1,81081.85,7e-05,BTCUSDT
1778445144177926,1,81081.67,0.0043,BTCUSDT
1778445144177927,1,81081.36,7e-05,BTCUSDT
1778445144177928,1,81081.04,7e-05,BTCUSDT
1778445144177929,1,81080.93,0.00042,BTCUSDT
1778445144177930,1,81080.78,8e-05,BTCUSDT
1778445144177931,1,81080.77,0.00021,BTCUSDT
1778445144242925,1,81080.76,0.03374,BTCUSDT
1778445144242926,1,81080.75,0.01513,BTCUSDT
1778445144242927,1,81080.37,7e-05,BTCUSDT
1778445144242928,1,81080.0,0.01054,BTCUSDT
1778445144242929,1,81079.54,0.00344,BTCUSDT
1778445144242930,1,81079.32,0.00215,BTCUSDT
1778445144242931,1,81079.28,0.00016,BTCUSDT
1778445144242932,1,81078.76,7e-05,BTCUSDT
1778445144242933,1,81078.69,7e-05,BTCUSDT
1778445144242934,1,81078.57,7e-05,BTCUSDT
1778445144242935,1,81078.0,0.0008,BTCUSDT
1778445144242936,1,81077.97,0.00224,BTCUSDT
1778445144242937,1,81077.36,7e-05,BTCUSDT
1778445144242938,1,81076.95,0.0004,BTCUSDT
1778445144242939,1,81076.31,0.00129,BTCUSDT
1778445144242940,1,81076.0,0.00094,BTCUSDT
1778445144242941,1,81075.9,0.0043,BTCUSDT
1778445144242942,1,81075.48,7e-05,BTCUSDT
1778445144242943,1,81074.85,0.00367,BTCUSDT
1778445144242944,1,81074.79,0.00018,BTCUSDT
1778445144242945,1,81074.72,7e-05,BTCUSDT
1778445144242946,1,81074.52,7e-05,BTCUSDT
1778445144242947,1,81074.35,7e-05,BTCUSDT
1778445144242948,1,81074.0,0.0008,BTCUSDT
1778445144242949,1,81073.92,8e-05,BTCUSDT
1778445144242950,1,81073.88,0.01179,BTCUSDT
1778445144242951,1,81073.39,7e-05,BTCUSDT
1778445144242952,1,81072.69,0.1921,BTCUSDT
1778445144248570,1,81072.68,7e-05,BTCUSDT
1778445144289251,1,81072.68,0.0001,BTCUSDT
1778445144427018,1,81072.68,0.00011,BTCUSDT
1778445144448044,1,81072.68,0.00241,BTCUSDT
1778445144593855,1,81072.68,0.00056,BTCUSDT
1778445144827031,1,81072.68,0.00684,BTCUSDT
1778445145074361,0,81072.69,0.04771,BTCUSDT
1778445147513997,0,81072.69,0.0001,BTCUSDT
1778445148035000,0,81072.69,0.53655,BTCUSDT
1778445148269008,0,81072.69,0.00012,BTCUSDT
1778445148287610,0,81072.69,0.00167,BTCUSDT
1778445149617345,0,81072.69,0.00015,BTCUSDT
1778445149692900,0,81072.69,0.00123,BTCUSDT
