timestamp_us,event_type,price,quantity,symbol
1778445142857814,0,2350.57,0.1766,ETHUSDT
1778445142965122,1,2350.56,0.1,ETHUSDT
1778445142997538,1,2350.56,0.1,ETHUSDT
1778445143000500,1,2350.56,0.9855,ETHUSDT
1778445143011842,1,2350.56,0.0437,ETHUSDT
1778445143011843,1,2350.55,0.0155,ETHUSDT
1778445143011844,1,2350.54,0.0092,ETHUSDT
1778445143014536,1,2350.53,0.0046,ETHUSDT
1778445143014537,1,2350.52,0.0089,ETHUSDT
1778445143014538,1,2350.51,0.028,ETHUSDT
1778445143014660,1,2350.5,0.0067,ETHUSDT
1778445143014661,1,2350.48,0.0121,ETHUSDT
1778445143014662,1,2350.47,0.0022,ETHUSDT
1778445143014663,1,2350.45,0.0023,ETHUSDT
1778445143015224,1,2350.44,0.0207,ETHUSDT
1778445143017633,1,2350.42,0.0617,ETHUSDT
1778445143017634,1,2350.42,0.0578,ETHUSDT
1778445143018477,1,2350.42,0.0699,ETHUSDT
1778445143076021,1,2350.42,0.0345,ETHUSDT
1778445143076022,1,2350.41,0.0089,ETHUSDT
1778445143076023,1,2350.4,0.0111,ETHUSDT
1778445143076024,1,2350.39,0.0023,ETHUSDT
1778445143076025,1,2350.38,0.0133,ETHUSDT
1778445143076026,1,2350.37,0.0155,ETHUSDT
1778445143076027,1,2350.36,0.0957,ETHUSDT
1778445143076028,1,2350.35,0.04,ETHUSDT
1778445143076029,1,2350.34,0.0045,ETHUSDT
1778445143076030,1,2350.33,0.011,ETHUSDT
1778445143076031,1,2350.32,0.014,ETHUSDT
1778445143076032,1,2350.31,0.0072,ETHUSDT
1778445143076033,1,2350.3,0.0066,ETHUSDT
1778445143076034,1,2350.29,0.0113,ETHUSDT
1778445143548396,0,2350.29,0.0106,ETHUSDT
1778445143892529,0,2350.29,0.1,ETHUSDT
1778445144338644,1,2350.28,0.1,ETHUSDT
1778445144362456,1,2350.28,0.1,ETHUSDT
1778445145030254,0,2350.29,0.7177,ETHUSDT
1778445145765096,1,2350.28,2.494,ETHUSDT
1778445146421220,1,2350.28,0.472,ETHUSDT
1778445147085435,0,2350.29,0.0064,ETHUSDT
1778445147679421,0,2350.29,0.0045,ETHUSDT
1778445148381592,1,2350.28,0.1,ETHUSDT
1778445148387222,1,2350.28,0.1384,ETHUSDT
1778445150124506,0,2350.29,0.7177,ETHUSDT
1778445150288380,1,2350.28,0.0591,ETHUSDT
1778445150605396,1,2350.28,0.0121,ETHUSDT
1778445150722280,1,2350.28,0.086,ETHUSDT
1778445150827161,1,2350.28,0.0451,ETHUSDT
1778445151083188,0,2350.29,0.0023,ETHUSDT
1778445151241170,0,2350.29,0.0147,ETHUSDT
1778445151537261,1,2350.28,0.008,ETHUSDT
1778445152413483,1,2350.28,0.04,ETHUSDT
1778445153600574,1,2350.28,0.2,ETHUSDT
1778445153824359,1,2350.28,0.2,ETHUSDT
1778445153835388,1,2350.28,2.9606,ETHUSDT
1778445153835389,1,2350.28,0.7004,ETHUSDT
1778445153835390,1,2350.27,0.0067,ETHUSDT
1778445153835391,1,2350.26,0.017,ETHUSDT
1778445153836453,1,2350.26,0.0132,ETHUSDT
1778445153838510,1,2350.25,0.0067,ETHUSDT
1778445153838511,1,2350.24,0.0133,ETHUSDT
1778445153838512,1,2350.23,0.0133,ETHUSDT
1778445153838513,1,2350.22,0.0086,ETHUSDT
1778445153838514,1,2350.22,0.0157,ETHUSDT
1778445153838515,1,2350.21,0.0023,ETHUSDT
1778445153838516,1,2350.2,0.0163,ETHUSDT
1778445153838517,1,2350.19,0.0112,ETHUSDT
1778445153838518,1,2350.18,0.022,ETHUSDT
1778445153838519,1,2350.17,0.0347,ETHUSDT
1778445153838520,1,2350.16,0.0107,ETHUSDT
