window_start,utc_hour,symbol,n_B,n_S,mu_B,mu_S,phi_BB1,phi_SS1,phi_BS1,phi_SB1,phi_BB2,phi_SS2,phi_BS2,phi_SB2,eta,loglik,month,date
1764547200.180386,0,BTCUSDT,108202,109978,3.2569865694727227,2.1007346040147277,0.7932123666328807,0.8619526284814873,0.0005903876843992,0.0005829990255717,0.0347887149448941,0.0393992954070856,0.0325345167238797,0.0628548387407877,0.9233830511652226,1002205.4387239084,2025-12,20423
1764550800.180386,1,BTCUSDT,49954,42219,2.8607843635249828,1.2792492551802896,0.731851761797749,0.8207948119609,0.0011876648773597,0.0009606458809607,0.0369429502520044,0.0381290200000779,0.0259614011723139,0.0283097710243916,0.867014507362364,369825.9721962412,2025-12,20423
1764554400.180386,2,BTCUSDT,47393,38016,2.7249446994946473,1.374299438141514,0.7230738591721937,0.8339538552463285,0.0003842094797873,0.0003391978781916,0.0463242690591314,0.0100093250681004,0.0221134499219885,0.025079284396402,0.8509733523704515,355314.7519455638,2025-12,20423
1764558000.180386,3,BTCUSDT,46739,34261,3.170547287500989,1.454407047317049,0.7124680170156207,0.808652952952691,0.0004543291081264,0.0005471886309679,0.0319701383629728,0.0193716289037843,0.0146596091639881,0.0148958568736321,0.83072943497244,326141.82222308026,2025-12,20423
1764561600.180386,4,BTCUSDT,45197,33324,3.4045298332064053,1.2999412335543687,0.6624369540077268,0.8084617767349035,0.0004837213561251,0.0004760629562161,0.0388863488683487,0.0291220699287145,0.0156995807559616,0.0344183954770192,0.8416092502997863,303175.7237304824,2025-12,20423
1764565200.180386,5,BTCUSDT,27914,20204,2.4238918439261443,0.9915172285236566,0.6337869990938344,0.7779872994568718,0.0008769121753948,0.0005905956045846,0.0365592697607197,0.0239447077139714,0.0143802959469063,0.0229930861861116,0.8046119265745173,170371.96660065968,2025-12,20423
1764568800.180386,6,BTCUSDT,28088,21397,2.324797131884212,1.2201125425441477,0.6610170593231848,0.7547626454284032,0.0005518901560392,0.000555305080485,0.0171977955031747,0.0180106194501478,0.0228102977768811,0.0264737848820034,0.7790363973738884,176476.10928914693,2025-12,20423
1764572400.180386,7,BTCUSDT,26951,26607,2.550364619073014,1.5023445071482444,0.617210664837919,0.7461972946361736,0.0006486251942457,0.0004605493914951,0.0278649129996041,0.0309983257121428,0.0192457023299686,0.0134437289453695,0.7792571278153793,186864.24275537225,2025-12,20423
1764576000.180386,8,BTCUSDT,25041,22842,2.285779058969098,1.2815979257694177,0.6381316192394082,0.7336808552828498,0.0008231611926178,0.0009311292822205,0.0212882975480288,0.0573138416327893,0.0098477247878696,0.0103534984012751,0.791903616095671,164894.75223565826,2025-12,20423
1764579600.180386,9,BTCUSDT,24034,27465,2.0402706133351196,1.2490805949280788,0.6395811259391718,0.7884811320912264,0.000766364910914,0.0004827411475252,0.0400746801952098,0.0435208013942816,0.009798705730746,0.0103887693486457,0.8327521686607806,186721.2985047179,2025-12,20423
1764583200.180386,10,BTCUSDT,15938,14296,1.9112816127858157,1.074518633098537,0.5281309501441432,0.6724156332914203,0.0006375343186865,0.0011489097448536,0.0324277970667705,0.0410582212946859,0.0131427728146225,0.0067695312593669,0.7141841443629143,83915.87654550458,2025-12,20423
1764586800.180386,11,BTCUSDT,18617,20936,2.067154447918822,1.287790372369339,0.5561921927842068,0.7278929239485873,0.0005182653895856,0.0006428800050835,0.0272521051696568,0.034511413805608,0.0160603627946092,0.0170361292449374,0.7640273786278318,129786.37047630164,2025-12,20423
1764590400.180386,12,BTCUSDT,45424,51848,2.3274010459706713,1.8816366182014927,0.7022331605782108,0.8130807711271107,0.0004150752152985,0.0005493061589819,0.0695445097401368,0.0376836821965984,0.029965983724128,0.0342646599422046,0.8624317217895958,410919.349687084,2025-12,20423
1764594000.180386,13,BTCUSDT,44824,40611,2.5013068294024072,1.7394731641926604,0.7708856342417576,0.770088279637304,0.0008032544141686,0.0005112305716442,0.0238742208123,0.0417957377212827,0.0210297289724254,0.0146309583139669,0.8234194084860439,354246.60958025325,2025-12,20423
1764597600.180386,14,BTCUSDT,54777,55175,2.7753057336929348,1.691195803087196,0.7723884624509398,0.8216613890582749,0.0004134599225712,0.000377847260196,0.021310025956045,0.0568340191793886,0.0181599705781305,0.0279361917341465,0.8842998345289429,483086.4564020194,2025-12,20423
1764601200.180386,15,BTCUSDT,88583,88931,3.354333508249532,2.678543718152604,0.764815618592284,0.8393375997121448,0.0004573553015622,0.0006187597416519,0.0496556088795299,0.0290070813327929,0.0213987699517164,0.0437385010323735,0.8825791225359865,798111.2988981209,2025-12,20423
